M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
2.481119e+02	9.710291e+00	4.000000e-04	2.593798e+04	9.621536e+02	7.200000e-01	0
2.475222e+02	9.703836e+00	5.000000e-04	2.512420e+04	9.341597e+02	6.500000e-01	0
2.468580e+02	9.693441e+00	5.000000e-04	2.433215e+04	9.068122e+02	6.500000e-01	0
2.461202e+02	9.679184e+00	6.000000e-04	2.356147e+04	8.800971e+02	5.800000e-01	0
2.453101e+02	9.661144e+00	7.000000e-04	2.281173e+04	8.540151e+02	5.800000e-01	0
2.444286e+02	9.639404e+00	8.000000e-04	2.208263e+04	8.285505e+02	5.800000e-01	0
2.434769e+02	9.614036e+00	8.000000e-04	2.137375e+04	8.037004e+02	5.100000e-01	0
2.424557e+02	9.585108e+00	8.000000e-04	2.068465e+04	7.794556e+02	5.800000e-01	0
2.413661e+02	9.552688e+00	9.000000e-04	2.001510e+04	7.558068e+02	5.100000e-01	0
2.402088e+02	9.516858e+00	9.000000e-04	1.936461e+04	7.327535e+02	5.100000e-01	0
2.389847e+02	9.477673e+00	1.000000e-03	1.873281e+04	7.102776e+02	5.100000e-01	0
2.376946e+02	9.435201e+00	1.000000e-03	1.811934e+04	6.883755e+02	5.100000e-01	0
2.363392e+02	9.389513e+00	1.100000e-03	1.752384e+04	6.670400e+02	5.000000e-01	0
2.349192e+02	9.340662e+00	1.200000e-03	1.694594e+04	6.462538e+02	5.000000e-01	0
2.334354e+02	9.288711e+00	1.300000e-03	1.638528e+04	6.260251e+02	4.300000e-01	0
2.318885e+02	9.233724e+00	1.300000e-03	1.584143e+04	6.063421e+02	4.300000e-01	0
2.302792e+02	9.175746e+00	1.300000e-03	1.531410e+04	5.871825e+02	4.300000e-01	0
2.286081e+02	9.114859e+00	1.300000e-03	1.480292e+04	5.685503e+02	4.300000e-01	0
2.268759e+02	9.051087e+00	1.400000e-03	1.430746e+04	5.504307e+02	4.400000e-01	0
2.250834e+02	8.984517e+00	1.500000e-03	1.382744e+04	5.328222e+02	3.600000e-01	0
2.232313e+02	8.915192e+00	1.500000e-03	1.336248e+04	5.157066e+02	3.600000e-01	0
2.213203e+02	8.843171e+00	1.500000e-03	1.291223e+04	4.990841e+02	3.600000e-01	0
2.193512e+02	8.768511e+00	1.600000e-03	1.247632e+04	4.829380e+02	2.900000e-01	0
2.173249e+02	8.691260e+00	1.600000e-03	1.205440e+04	4.672604e+02	3.600000e-01	0
